SNO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,MED
D50310_at,989.0,1120.0,1232.0,1132.0,1030.0,814.0,703.0,1034.0,1321.0,716.0,745.0,956.0,984.0,1307.0,571.0,2082.0,838.0,1132.0,1434.0,1479.0,1182.0,957.0,1008.0,435.0,569.0,831.0,1030.0,927.0,996.0,713.0,982.0,799.0,1669.0,883.0,1243.0,1463.0,848.0,1087.0,1150.0,MED
D55716_at,521.0,276.0,334.0,389.0,492.0,273.0,308.0,426.0,217.0,299.0,214.0,370.0,714.0,339.0,159.0,386.0,233.0,389.0,372.0,339.0,235.0,929.0,362.0,37.0,281.0,189.0,126.0,281.0,280.0,149.0,450.0,185.0,224.0,220.0,308.0,443.0,574.0,155.0,352.0,MED
D78012_at,688.0,647.0,558.0,750.0,507.0,599.0,438.0,683.0,1126.0,611.0,201.0,572.0,531.0,172.0,138.0,792.0,420.0,520.0,140.0,1289.0,511.0,1068.0,797.0,525.0,524.0,592.0,196.0,276.0,561.0,393.0,543.0,338.0,80.0,229.0,335.0,616.0,404.0,706.0,356.0,MED
D80004_at,592.0,317.0,387.0,312.0,370.0,278.0,281.0,197.0,199.0,291.0,68.0,320.0,314.0,157.0,55.0,307.0,321.0,322.0,235.0,296.0,270.0,278.0,349.0,169.0,415.0,173.0,65.0,224.0,387.0,183.0,100.0,198.0,300.0,418.0,320.0,385.0,353.0,159.0,258.0,MED
HG1612-HT1612_at,886.0,621.0,1040.0,931.0,915.0,1071.0,748.0,681.0,1242.0,831.0,294.0,1191.0,1156.0,861.0,315.0,741.0,930.0,819.0,988.0,957.0,805.0,1527.0,1310.0,964.0,998.0,1017.0,209.0,816.0,1133.0,602.0,1124.0,787.0,749.0,1034.0,1300.0,1307.0,1127.0,984.0,1288.0,MED
L11931_at,236.0,206.0,222.0,219.0,269.0,216.0,211.0,382.0,445.0,270.0,293.0,330.0,314.0,265.0,161.0,323.0,256.0,240.0,226.0,292.0,301.0,259.0,413.0,362.0,376.0,264.0,312.0,244.0,302.0,249.0,386.0,409.0,227.0,253.0,191.0,245.0,252.0,250.0,229.0,MED
L37043_at,953.0,908.0,680.0,948.0,622.0,715.0,336.0,720.0,373.0,768.0,295.0,608.0,271.0,287.0,70.0,750.0,609.0,1041.0,541.0,1023.0,531.0,824.0,699.0,222.0,445.0,543.0,261.0,525.0,488.0,446.0,421.0,408.0,357.0,556.0,832.0,1004.0,909.0,713.0,458.0,MED
L37792_at,197.0,186.0,190.0,151.0,211.0,120.0,260.0,190.0,183.0,114.0,157.0,135.0,239.0,250.0,93.0,154.0,132.0,228.0,353.0,126.0,227.0,206.0,183.0,90.0,187.0,205.0,255.0,160.0,117.0,213.0,193.0,175.0,172.0,207.0,224.0,241.0,140.0,214.0,232.0,MED
M31303_rna1_at,724.0,579.0,608.0,619.0,676.0,651.0,751.0,243.0,927.0,927.0,606.0,871.0,1066.0,568.0,466.0,746.0,472.0,581.0,604.0,908.0,699.0,964.0,732.0,830.0,1093.0,515.0,634.0,534.0,830.0,467.0,1106.0,842.0,573.0,576.0,696.0,791.0,631.0,819.0,751.0,MED
M37457_at,201.0,353.0,600.0,317.0,640.0,419.0,773.0,88.0,150.0,58.0,140.0,363.0,211.0,212.0,26.0,142.0,186.0,323.0,769.0,124.0,554.0,203.0,145.0,129.0,206.0,804.0,281.0,95.0,389.0,245.0,486.0,487.0,300.0,79.0,179.0,125.0,99.0,450.0,504.0,MED
M80629_at,105.0,94.0,81.0,89.0,95.0,185.0,116.0,172.0,129.0,124.0,98.0,113.0,144.0,130.0,99.0,188.0,84.0,88.0,97.0,142.0,147.0,246.0,125.0,113.0,111.0,122.0,179.0,114.0,163.0,92.0,86.0,140.0,102.0,117.0,119.0,90.0,104.0,206.0,94.0,MED
M93119_at,628.0,760.0,596.0,825.0,536.0,471.0,165.0,396.0,192.0,213.0,169.0,536.0,459.0,128.0,20.0,701.0,686.0,923.0,409.0,899.0,233.0,597.0,1000.0,174.0,201.0,686.0,126.0,582.0,534.0,481.0,133.0,116.0,124.0,554.0,1060.0,1142.0,577.0,773.0,332.0,MED
S78296_at,361.0,494.0,315.0,430.0,245.0,304.0,414.0,250.0,297.0,96.0,157.0,244.0,401.0,202.0,123.0,580.0,147.0,462.0,329.0,714.0,624.0,291.0,390.0,84.0,171.0,456.0,179.0,86.0,193.0,706.0,355.0,92.0,57.0,270.0,249.0,547.0,135.0,319.0,155.0,MED
S82024_at,42.0,741.0,923.0,902.0,147.0,1493.0,703.0,413.0,377.0,420.0,875.0,1166.0,879.0,882.0,43.0,1149.0,124.0,614.0,788.0,654.0,223.0,1940.0,435.0,1190.0,104.0,732.0,874.0,583.0,234.0,286.0,106.0,436.0,189.0,971.0,458.0,797.0,309.0,1284.0,527.0,MED
U09087_s_at,75.0,59.0,62.0,88.0,65.0,84.0,67.0,105.0,66.0,64.0,35.0,61.0,55.0,68.0,83.0,90.0,87.0,69.0,104.0,60.0,113.0,109.0,109.0,121.0,66.0,28.0,31.0,70.0,64.0,52.0,74.0,42.0,47.0,39.0,39.0,72.0,138.0,38.0,63.0,MED
U16954_at,931.0,845.0,1107.0,1187.0,969.0,1172.0,1010.0,588.0,928.0,469.0,579.0,1237.0,812.0,649.0,70.0,1032.0,880.0,984.0,1159.0,1108.0,740.0,1443.0,808.0,945.0,861.0,981.0,378.0,626.0,1102.0,387.0,682.0,747.0,407.0,699.0,874.0,872.0,848.0,1069.0,786.0,MED
U18271_cds3_s_at,65.0,61.0,59.0,79.0,57.0,72.0,68.0,88.0,51.0,57.0,74.0,79.0,75.0,71.0,61.0,82.0,74.0,64.0,67.0,63.0,95.0,85.0,191.0,109.0,99.0,55.0,78.0,80.0,64.0,66.0,208.0,120.0,59.0,51.0,46.0,57.0,102.0,54.0,60.0,MED
U19878_at,149.0,166.0,163.0,96.0,153.0,258.0,89.0,167.0,179.0,64.0,71.0,180.0,113.0,93.0,96.0,126.0,112.0,160.0,101.0,235.0,95.0,249.0,75.0,114.0,205.0,167.0,61.0,107.0,207.0,120.0,105.0,125.0,51.0,88.0,125.0,123.0,117.0,263.0,102.0,MED
U27193_at,74.0,243.0,331.0,141.0,207.0,74.0,155.0,75.0,122.0,28.0,83.0,150.0,237.0,227.0,34.0,161.0,44.0,76.0,234.0,86.0,158.0,209.0,85.0,20.0,103.0,252.0,77.0,45.0,146.0,57.0,178.0,83.0,36.0,57.0,174.0,174.0,28.0,82.0,139.0,MED
U30521_at,1274.0,1308.0,1393.0,1075.0,1284.0,1341.0,1222.0,849.0,1414.0,348.0,353.0,1080.0,878.0,676.0,362.0,1073.0,851.0,1003.0,1137.0,1025.0,1224.0,1104.0,683.0,470.0,1005.0,1040.0,468.0,836.0,966.0,605.0,1352.0,1281.0,687.0,626.0,810.0,1330.0,1082.0,1614.0,1094.0,MED
U31382_at,332.0,165.0,183.0,152.0,105.0,146.0,143.0,101.0,61.0,110.0,23.0,83.0,160.0,105.0,24.0,164.0,173.0,245.0,151.0,173.0,45.0,76.0,118.0,126.0,32.0,118.0,82.0,243.0,129.0,110.0,25.0,52.0,186.0,143.0,124.0,224.0,384.0,133.0,94.0,MED
U44378_at,178.0,204.0,179.0,227.0,169.0,163.0,156.0,132.0,169.0,103.0,64.0,61.0,141.0,178.0,117.0,226.0,153.0,191.0,200.0,186.0,299.0,222.0,181.0,116.0,173.0,198.0,137.0,171.0,155.0,142.0,168.0,253.0,150.0,115.0,89.0,152.0,217.0,159.0,177.0,MED
U49973_xpt2_at,58.0,74.0,71.0,43.0,65.0,71.0,78.0,93.0,85.0,63.0,40.0,70.0,107.0,130.0,60.0,124.0,52.0,46.0,87.0,106.0,100.0,114.0,51.0,54.0,139.0,80.0,85.0,76.0,86.0,84.0,71.0,130.0,53.0,86.0,82.0,81.0,57.0,120.0,66.0,MED
U61145_at,133.0,86.0,140.0,164.0,320.0,156.0,139.0,181.0,223.0,277.0,73.0,280.0,280.0,143.0,93.0,166.0,52.0,80.0,119.0,147.0,140.0,338.0,135.0,249.0,383.0,97.0,111.0,74.0,283.0,57.0,190.0,180.0,91.0,68.0,65.0,118.0,141.0,90.0,113.0,MED
U79248_at,47.0,60.0,66.0,53.0,61.0,62.0,50.0,47.0,54.0,32.0,38.0,21.0,39.0,50.0,27.0,59.0,43.0,56.0,56.0,46.0,53.0,42.0,71.0,73.0,31.0,67.0,32.0,41.0,50.0,46.0,49.0,53.0,34.0,41.0,58.0,58.0,55.0,49.0,76.0,MED
U79262_at,179.0,192.0,215.0,187.0,263.0,233.0,252.0,173.0,200.0,154.0,170.0,299.0,298.0,261.0,131.0,215.0,142.0,171.0,185.0,178.0,222.0,315.0,120.0,101.0,152.0,259.0,186.0,219.0,196.0,111.0,147.0,137.0,189.0,148.0,204.0,208.0,185.0,171.0,200.0,MED
V00599_s_at,1883.0,1441.0,1474.0,1872.0,1391.0,1572.0,1337.0,2605.0,1964.0,2363.0,1590.0,2064.0,1572.0,1581.0,2262.0,3008.0,1505.0,1341.0,1897.0,3658.0,1694.0,2392.0,2657.0,1446.0,1171.0,1849.0,2549.0,2033.0,1976.0,1031.0,1021.0,1395.0,2190.0,1794.0,1980.0,2961.0,1584.0,1858.0,1958.0,MED
X70683_at,757.0,537.0,940.0,683.0,1571.0,1662.0,775.0,905.0,2421.0,454.0,794.0,1448.0,1800.0,1383.0,358.0,936.0,532.0,512.0,840.0,725.0,1423.0,2104.0,683.0,1001.0,2697.0,1349.0,1326.0,296.0,2619.0,320.0,923.0,2100.0,593.0,474.0,355.0,770.0,607.0,1949.0,1065.0,MED
X73358_s_at,479.0,433.0,799.0,588.0,939.0,790.0,658.0,458.0,1021.0,496.0,537.0,1132.0,715.0,1283.0,305.0,616.0,334.0,574.0,1046.0,870.0,796.0,1047.0,422.0,458.0,357.0,825.0,488.0,512.0,918.0,245.0,407.0,541.0,373.0,620.0,465.0,537.0,648.0,662.0,1030.0,MED
Z69915_at,160.0,172.0,184.0,164.0,157.0,158.0,186.0,184.0,124.0,159.0,56.0,154.0,127.0,85.0,64.0,396.0,167.0,185.0,166.0,178.0,183.0,215.0,140.0,90.0,139.0,278.0,109.0,152.0,193.0,160.0,162.0,114.0,216.0,149.0,191.0,122.0,210.0,222.0,250.0,MED
